time,cpu,mem,ram,disk,disk_io,network,gpu load,gpu memutil
2021-02-22 21:02:34.201815,4.0,1872.55078125,10139.87109375,10944.11328125,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': -209921066.80320644, 'recv': -28910287557.974926}",7.000000000000001,4.238399737661911
2021-02-22 21:02:38.567321,2.8,2259.625,10517.93359375,10944.12109375,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': -209921066.79843807, 'recv': -28910287557.907852}",2.0,4.681095261518282
2021-02-22 21:02:40.646983,2.5,2656.5703125,10912.48828125,10944.12109375,"{'rc': 0, 'wc': 21, 'rb': 0, 'wb': 290816}","{'sent': -209921066.79843807, 'recv': -28910287557.878498}",3.0,7.238891621577308
2021-02-22 21:02:42.735500,2.5,2749.40234375,11002.7109375,10944.12109375,"{'rc': 0, 'wc': 21, 'rb': 0, 'wb': 290816}","{'sent': -209921066.79843807, 'recv': -28910287557.84674}",55.00000000000001,10.222987374979505
2021-02-22 21:02:44.826030,3.1,2749.5546875,11002.8125,10944.12109375,"{'rc': 0, 'wc': 50, 'rb': 0, 'wb': 524288}","{'sent': -209921066.79806805, 'recv': -28910287557.81463}",87.0,10.222987374979505
2021-02-22 21:02:46.920640,3.1,2749.51171875,11003.02734375,10944.12109375,"{'rc': 0, 'wc': 50, 'rb': 0, 'wb': 524288}","{'sent': -209921066.79787922, 'recv': -28910287557.783207}",61.0,10.222987374979505
2021-02-22 21:02:49.014872,3.0,2750.05859375,11003.15234375,10944.12109375,"{'rc': 0, 'wc': 50, 'rb': 0, 'wb': 524288}","{'sent': -209921066.79750156, 'recv': -28910287557.749207}",88.0,10.222987374979505
2021-02-22 21:02:51.110301,3.0,2749.05859375,11003.16015625,10944.12109375,"{'rc': 0, 'wc': 59, 'rb': 0, 'wb': 577536}","{'sent': -209921066.7971239, 'recv': -28910287557.716522}",75.0,10.222987374979505
2021-02-22 21:02:53.202995,3.0,2750.4765625,11003.2578125,10944.12109375,"{'rc': 0, 'wc': 59, 'rb': 0, 'wb': 577536}","{'sent': -209921066.79674625, 'recv': -28910287557.68418}",86.0,10.222987374979505
2021-02-22 21:02:55.278272,3.1,2750.83984375,11003.5078125,10944.12109375,"{'rc': 0, 'wc': 59, 'rb': 0, 'wb': 577536}","{'sent': -209921066.79650593, 'recv': -28910287557.651447}",57.99999999999999,10.222987374979505
2021-02-22 21:02:57.372467,3.1,2750.41015625,11003.6875,10944.12109375,"{'rc': 0, 'wc': 59, 'rb': 0, 'wb': 577536}","{'sent': -209921066.79612827, 'recv': -28910287557.61756}",79.0,10.222987374979505
2021-02-22 21:02:59.469718,3.0,2751.0703125,11003.8125,10944.12109375,"{'rc': 0, 'wc': 59, 'rb': 0, 'wb': 577536}","{'sent': -209921066.79575062, 'recv': -28910287557.58442}",66.0,10.222987374979505
2021-02-22 21:03:01.564819,3.1,2750.32421875,11003.83203125,10944.12109375,"{'rc': 0, 'wc': 59, 'rb': 0, 'wb': 577536}","{'sent': -209921066.79527378, 'recv': -28910287557.55151}",85.0,10.222987374979505
